Username;VowelRatio;ShannonEntropy;length;specialCharRatio;isBot
Adrianna Gleason;0,4375;3,2028;16;0,0625;FALSE
Dale Veum;0,4444;2,9477;9;0,1111;FALSE
Afton Windler;0,3077;3,5466;13;0,0769;FALSE
innhuhnr;0,25;2,1556;8;0;TRUE
kzoanv;0,3333;2,585;6;0;TRUE
Candice Corwin;0,3571;3,182;14;0,0714;FALSE
Kenyatta Klocko;0,3333;3,1899;15;0,0667;FALSE
 djolol;0,2857;2,2359;7;0,1429;TRUE
Tyreek Bogan;0,3333;3,4183;12;0,0833;FALSE
zj;0;1;2;0;TRUE
hopjhtn;0,1429;2,5216;7;0;TRUE
zcfgqsjhu;0,1111;3,1699;9;0;TRUE
Lon Ryan;0,25;2,75;8;0,125;FALSE
Bridgette Cole;0,3571;3,3249;14;0,0714;FALSE
xztu ;0,2;2,3219;5;0,2;TRUE
Anastasia Schmitt;0,3529;2,9398;17;0,0588;FALSE
Adrian Weber;0,4167;3,085;12;0,0833;FALSE
Beulah Walker;0,3846;3,2389;13;0,0769;FALSE
zjpsarxa;0,25;2,75;8;0;TRUE
zugq;0,25;2;4;0;TRUE
Brendan Baumbach;0,3125;3,2806;16;0,0625;FALSE
Jermey Kunde;0,3333;3,1887;12;0,0833;FALSE
Muriel Stokes;0,3846;3,3927;13;0,0769;FALSE
jyligbldkjb;0,0909;2,914;11;0;TRUE
jcifhoogo k;0,3636;3,0272;11;0,0909;TRUE
Keshawn Runolfsdottir;0,2857;3,9161;21;0,0476;FALSE
caxpdnrnu;0,2222;2,9477;9;0;TRUE
nmjn;0;1,5;4;0;TRUE
Ricardo Rolfson;0,3333;3,2729;15;0,0667;FALSE
hm;0;1;2;0;TRUE
Tyreek Bartell;0,2857;3,0391;14;0,0714;FALSE
Cecilia Corwin;0,4286;3,1281;14;0,0714;FALSE
hdqiejppxcp;0,1818;3,0272;11;0;TRUE
zxrloj;0,1667;2,585;6;0;TRUE
Ashlynn Shields;0,2;3,1899;15;0,0667;FALSE
h lzk ;0;2,2516;6;0,3333;TRUE
nk;0;1;2;0;TRUE
pr;0;1;2;0;TRUE
Lorenz Jenkins;0,2857;3,3249;14;0,0714;FALSE
rv m;0;2;4;0,25;TRUE
fo;0,5;1;2;0;TRUE
Alysa Stoltenberg;0,2941;3,4992;17;0,0588;FALSE
Kianna Schmitt;0,2857;3,2359;14;0,0714;FALSE
Camille Powlowski;0,3529;3,4548;17;0,0588;FALSE
hxesf;0,2;2,3219;5;0;TRUE
Elvis Strosin;0,3077;3,1808;13;0,0769;FALSE
Rahsaan Waters;0,3571;2,9502;14;0,0714;FALSE
vhbo;0,25;2;4;0;TRUE
Terrill Kozey;0,3077;3,2389;13;0,0769;FALSE
dengm zdo;0,2222;2,9477;9;0,1111;TRUE
nxirjjt;0,1429;2,5216;7;0;TRUE
vyxiig;0,3333;2,2516;6;0;TRUE
Trent O'Keefe;0,3846;2,9312;13;0,1538;FALSE
gtkiraae;0,5;2,75;8;0;TRUE
Monte Swaniawski;0,375;3,375;16;0,0625;FALSE
 ajeyqo;0,4286;2,8074;7;0,1429;TRUE
znlzholugyt;0,1818;3,0958;11;0;TRUE
hqgdkxoqtx;0,1;2,9219;10;0;TRUE
Letha Kovacek;0,3846;3,2389;13;0,0769;FALSE
Amya Waters;0,3636;3,0272;11;0,0909;FALSE
Brionna Thiel;0,3846;3,3927;13;0,0769;FALSE
Dandre Schroeder;0,3125;3,1085;16;0,0625;FALSE
Destiney McLaughlin;0,3158;3,8269;19;0,0526;FALSE
iukkhehf;0,375;2,5;8;0;TRUE
 tnba;0,2;2,3219;5;0,2;TRUE
fpcaboqrts;0,2;3,3219;10;0;TRUE
Belle Sanford;0,3077;3,3927;13;0,0769;FALSE
vsibakc;0,2857;2,8074;7;0;TRUE
yyb;0;0,9183;3;0;TRUE
ghcsa;0,2;2,3219;5;0;TRUE
Ashleigh Torp;0,3077;3,5466;13;0,0769;FALSE
ll;0;0;2;0;TRUE
c oe;0,5;2;4;0,25;TRUE
 bkgy;0;2,3219;5;0,2;TRUE
Jennifer Daniel;0,4;3,1396;15;0,0667;FALSE
Katrine Lind;0,3333;3,2516;12;0,0833;FALSE
fpr;0;1,585;3;0;TRUE
nze;0,3333;1,585;3;0;TRUE
Halle Adams;0,3636;2,8454;11;0,0909;FALSE
hixqolxy;0,25;2,75;8;0;TRUE
Garrett Hartmann;0,25;2,9835;16;0,0625;FALSE
cbt;0;1,585;3;0;TRUE
 cpihx;0,1667;2,585;6;0,1667;TRUE
